序号,汉字,Unicode,Unicode十六进制,拼音首字母,笔画数估算
858,微,24494,U+5FAE,?,8-20
859,徽,24509,U+5FBD,?,8-20
860,志,24535,U+5FD7,?,8-20
861,忠,24544,U+5FE0,?,8-20
862,忻,24571,U+5FFB,?,8-20
863,怀,24576,U+6000,?,10-25
864,恩,24681,U+6069,?,10-25
865,悟,24735,U+609F,?,10-25
866,悦,24742,U+60A6,?,10-25
867,感,24863,U+611F,?,10-25
868,慈,24904,U+6148,?,10-25
869,扎,25166,U+624E,?,10-25
870,托,25176,U+6258,?,10-25
871,扬,25196,U+626C,?,10-25
872,扶,25206,U+6276,?,10-25
873,承,25215,U+627F,?,10-25
874,技,25216,U+6280,?,10-25
875,抚,25242,U+629A,?,10-25
876,抢,25250,U+62A2,?,10-25
877,拉,25289,U+62C9,?,10-25
878,拍,25293,U+62CD,?,10-25
879,拔,25300,U+62D4,?,10-25
880,招,25307,U+62DB,?,10-25
881,括,25324,U+62EC,?,10-25
882,挑,25361,U+6311,?,10-25
883,振,25391,U+632F,?,10-25
884,授,25480,U+6388,?,10-25
885,掖,25494,U+6396,?,10-25
886,搜,25628,U+641C,?,10-25
887,摩,25705,U+6469,?,10-25
888,攀,25856,U+6500,?,10-25
889,故,25925,U+6545,?,10-25
890,敦,25958,U+6566,?,10-25
891,整,25972,U+6574,?,10-25
892,斯,26031,U+65AF,?,10-25
893,施,26045,U+65BD,?,10-25
894,族,26063,U+65CF,?,10-25
895,旗,26071,U+65D7,?,10-25
896,旺,26106,U+65FA,?,10-25
897,易,26131,U+6613,?,10-25
898,昔,26132,U+6614,?,10-25
899,昝,26141,U+661D,?,10-25
900,星,26143,U+661F,?,10-25
901,昭,26157,U+662D,?,10-25
902,普,26222,U+666E,?,10-25
903,景,26223,U+666F,?,10-25
904,暨,26280,U+66A8,?,10-25
905,曲,26354,U+66F2,?,10-25
906,月,26376,U+6708,?,10-25
907,朐,26384,U+6710,?,10-25
908,朔,26388,U+6714,?,10-25
909,朗,26391,U+6717,?,10-25
910,望,26395,U+671B,?,10-25
911,未,26410,U+672A,?,10-25
912,本,26412,U+672C,?,10-25
913,术,26415,U+672F,?,10-25
914,朵,26421,U+6735,?,10-25
915,权,26435,U+6743,?,10-25
916,杞,26462,U+675E,?,10-25
917,松,26494,U+677E,?,10-25
918,极,26497,U+6781,?,10-25
919,枝,26525,U+679D,?,10-25
920,枣,26531,U+67A3,?,10-25
921,柴,26612,U+67F4,?,10-25
922,标,26631,U+6807,?,10-25
923,栏,26639,U+680F,?,10-25
924,株,26666,U+682A,?,10-25
925,格,26684,U+683C,?,10-25
926,栾,26686,U+683E,?,10-25
927,桃,26691,U+6843,?,10-25
928,桐,26704,U+6850,?,10-25
929,桑,26705,U+6851,?,10-25
930,桓,26707,U+6853,?,10-25
931,桦,26726,U+6866,?,10-25
932,梅,26757,U+6885,?,10-25
933,梓,26771,U+6893,?,10-25
934,梨,26792,U+68A8,?,10-25
935,椒,26898,U+6912,?,10-25
936,楚,26970,U+695A,?,10-25
937,榄,27012,U+6984,?,10-25
938,榆,27014,U+6986,?,10-25
939,榕,27029,U+6995,?,10-25
940,榜,27036,U+699C,?,10-25
941,樟,27167,U+6A1F,?,10-25
942,横,27178,U+6A2A,?,10-25
943,樵,27189,U+6A35,?,10-25
944,歌,27468,U+6B4C,?,10-25
945,氏,27663,U+6C0F,?,10-25
946,民,27665,U+6C11,?,10-25
947,永,27704,U+6C38,?,10-25
948,汇,27719,U+6C47,?,10-25
949,汉,27721,U+6C49,?,10-25
950,汕,27733,U+6C55,?,10-25
951,汝,27741,U+6C5D,?,10-25
952,汤,27748,U+6C64,?,10-25
953,汨,27752,U+6C68,?,10-25
954,汾,27774,U+6C7E,?,10-25
955,沁,27777,U+6C81,?,10-25
956,沂,27778,U+6C82,?,10-25
957,沅,27781,U+6C85,?,10-25
958,沛,27803,U+6C9B,?,10-25
959,沟,27807,U+6C9F,?,10-25
960,沧,27815,U+6CA7,?,10-25
961,沭,27821,U+6CAD,?,10-25
962,治,27835,U+6CBB,?,10-25
963,沽,27837,U+6CBD,?,10-25
964,沾,27838,U+6CBE,?,10-25
965,泊,27850,U+6CCA,?,10-25
966,法,27861,U+6CD5,?,10-25
967,泗,27863,U+6CD7,?,10-25
968,泮,27886,U+6CEE,?,10-25
969,泰,27888,U+6CF0,?,10-25
970,泽,27901,U+6CFD,?,10-25
971,泾,27902,U+6CFE,?,10-25
972,洈,27912,U+6D08,?,10-25
973,洋,27915,U+6D0B,?,10-25
974,洛,27931,U+6D1B,?,10-25
975,洪,27946,U+6D2A,?,10-25
976,洱,27953,U+6D31,?,10-25
977,流,27969,U+6D41,?,10-25
978,浏,27983,U+6D4F,?,10-25
979,浦,28006,U+6D66,?,10-25
980,浩,28009,U+6D69,?,10-25
981,浪,28010,U+6D6A,?,10-25
982,浮,28014,U+6D6E,?,10-25
983,涉,28041,U+6D89,?,10-25
984,涞,28062,U+6D9E,?,10-25
985,涟,28063,U+6D9F,?,10-25
986,涡,28065,U+6DA1,?,10-25
987,润,28070,U+6DA6,?,10-25
988,涿,28095,U+6DBF,?,10-25
989,淄,28100,U+6DC4,?,10-25
990,淮,28142,U+6DEE,?,10-25
991,淼,28156,U+6DFC,?,10-25
992,渑,28177,U+6E11,?,10-25
993,渠,28192,U+6E20,?,10-25
994,渭,28205,U+6E2D,?,10-25
995,湄,28228,U+6E44,?,10-25
996,湛,28251,U+6E5B,?,10-25
997,溆,28294,U+6E86,?,10-25
998,源,28304,U+6E90,?,10-25
999,溧,28327,U+6EA7,?,10-25
1000,滁,28353,U+6EC1,?,10-25
1001,滋,28363,U+6ECB,?,10-25
1002,滑,28369,U+6ED1,?,10-25
1003,滔,28372,U+6ED4,?,10-25
1004,滕,28373,U+6ED5,?,10-25
1005,滦,28390,U+6EE6,?,10-25
1006,滨,28392,U+6EE8,?,10-25
1007,滩,28393,U+6EE9,?,10-25
1008,演,28436,U+6F14,?,10-25
1009,漠,28448,U+6F20,?,10-25
1010,漯,28463,U+6F2F,?,10-25
1011,漳,28467,U+6F33,?,10-25
1012,潍,28493,U+6F4D,?,10-25
1013,潢,28514,U+6F62,?,10-25
1014,潭,28525,U+6F6D,?,10-25
1015,潮,28526,U+6F6E,?,10-25
1016,潼,28540,U+6F7C,?,10-25
1017,澜,28572,U+6F9C,?,10-25
1018,澧,28583,U+6FA7,?,10-25
1019,澳,28595,U+6FB3,?,10-25
1020,濮,28654,U+6FEE,?,10-25
1021,瀣,28707,U+7023,?,12-30
1022,灌,28748,U+704C,?,12-30
1023,灯,28783,U+706F,?,12-30
1024,灵,28789,U+7075,?,12-30
1025,炬,28844,U+70AC,?,12-30
1026,烽,28925,U+70FD,?,12-30
1027,焦,28966,U+7126,?,12-30
1028,煌,29004,U+714C,?,12-30
1029,照,29031,U+7167,?,12-30
1030,熙,29081,U+7199,?,12-30
1031,熟,29087,U+719F,?,12-30
1032,燕,29141,U+71D5,?,12-30
1033,爱,29233,U+7231,?,12-30
1034,牛,29275,U+725B,?,12-30
1035,牟,29279,U+725F,?,12-30
1036,牡,29281,U+7261,?,12-30
1037,特,29305,U+7279,?,12-30
1038,狐,29392,U+72D0,?,12-30
1039,独,29420,U+72EC,?,12-30
1040,猛,29467,U+731B,?,12-30
1041,献,29486,U+732E,?,12-30
1042,玛,29595,U+739B,?,12-30
1043,环,29615,U+73AF,?,12-30
1044,球,29699,U+7403,?,12-30
1045,理,29702,U+7406,?,12-30
1046,瑞,29790,U+745E,?,12-30
1047,瓶,29942,U+74F6,?,12-30
1048,甪,29994,U+752A,?,12-30
1049,田,30000,U+7530,?,12-30
